Restaurant name	Reviewer’s name	Review text
J Wata Temaki Bar	Curtis T.	We were trying to get into Kura Robota Sushi Bar. After waiting for 45 minutes, we did a Yelp search and found J Wata Temaki Bar. This is a new restaurant in an area that is packed with Chinese, Korean, Thai, and Japanese restaurants. There are no tables, but only sushi counters. The restaurant primarily serves rolls. There are specialty rolls from 3 (San) to 5 (Go). The Go is the best \"bargain\" at under $22, which includes spicy Toro and Maine lobster rolls. They heat the nori (seaweed), which is a nice touch.   After a nice dinner of 14 hand rolls for the two of us for about $60, we were buzzed by Kura that our table was ready. I will take quality over quantity and will return to J Wata Temaki on my next visit to San Diego.	
J Wata Temaki Bar	Catherine F.	I am a sucker for hand rolls, and being from Los Angeles I have not found that restaurant to give me that fix here in San Diego.   Soft Opening, but was really well put together. The space was all in the middle and for everyone seated to experience and be close to the sushi chef.   For my Temaki:  I chose the Shi, which included (4) handrolls: *Blue Crab *Negi Yellowtail- fresh yellowtail and great on the palate. *Spicy Tuna- just enough spice *Bay Scallop- mayo delicate taste and was one of my favorites  I couldn't resist, and tried from the a la carte as well: *Spicy Toro- give me that tuna belly, savory and perfect *Uni- it was different with some mint added and tobiko. I enjoyed this handroll the most!  Each Nori is toasted before preparing each handroll, so your handroll is handed to you by the chef each time warm and ready to eat.   I would definitely come back!  Staff- attentive and management as well  Parking- it's Convoy/Kearny Mesa parking at all those plaza's equals patience.	
J Wata Temaki Bar	Katie B.	Delicious. I love the concept since I'm a huge fan of temaki. You can order a set of 3, 4, or 5 temaki (hand rolls). They also have an a la carte menu if you're looking for specific items like uni and ikura. The sets are definitely the way to go to save a little money. I had the set of five: negi salmon, Maine lobster, spicy tuna, hamachi, bay scallop. My mom had the set of three: negi toro, spicy salmon, blue crab. She also had an uni ikura roll. All the rolls were great - delivered straight to the hand by the chef. The rice was pretty good, but could have had a bit more vinegar. At least it wasn't too sweet like a lot of sushi places. The fish was fresh and the nori was nicely toasted right in front of us. There's nothing like the combination of fresh toasted nori, warm sushi rice and cold fish!   We made a reservation, but didn't actually need it when we came at noon on a Sunday. You might need it during happy hour, which looks pretty good. Discounted rolls and beer! Overall, we had a good experience and I liked that we were able to get in and out of this counter joint fairly quickly.	
J Wata Temaki Bar	Leslie B.	Wow!  I have nothing bad to say about this place.  I went because the Yelp review of the day suggested, and it looked like a good idea.  I went on a week night with my sushi-loving cousin.  I really love hand rolls, but had never been to a place that specialized in hand rolls.  We made reservations just in case, but there was no crowd on a week night.  It was chilly, so I ordered hot sake.  My cousin, who is super selective in her sake, chose as well, and found some to her liking.   The menu has several options, including a chef's selection of 3, 4, or 5 items.  We chose the four item menu and an appetizer of hamachi cevice.  The service was great. Our server set us up with the sake and the appetizer.  We communicated with our chef about our chef's selection.  The fish was fresh and delicious.  The hand rolls were delicious and I absolutely crave them today.  I am definitely happy to have discovered this place and I will be back.	
J Wata Temaki Bar	Grace S.	Came here for their grand opening week 3 to get the opportunity to utilize their BOGO, and chose their \"GO\"  set with 5 hand rolls at 21.95: - salmon - blue crab - spicy tuna - bay scallop - maine lobster  Other choices would have been the 3, 4 or vegetarian set menus, in which you can see if you browse pictures of the menu. You can also order a la carte.  Everything feels very specialized here, as I feel like how most Japanese restaurants are. The seaweed is first lovingly roasted over a flame before being wrapped around warm sushi and delicious cold fish.  The chef is attentive as well as the other servers here, setting out ginger and wasabi, a wet paper towel (one of those in plastic), and a tray of soy sauce, which was pretty concentrated. But of course the star of the experience were the hand rolls. The hand rolls are simply just rolled into a straight roll, not into the triangle/pyramid wrap that so many of are used to at certain restaurants, which makes it easier to dip in the soy sauce.  With each roll, I would take at least one bite without dipping it in the soy sauce and honestly, all of them can be deliciously consumed in that manner as they all had very distinct and strong flavor. My favorite that stood out for me was the maine lobster. The texture just worked for my tongue. Usually I'm much more of a crab person, so I was surprised the blue crab wasn't my favorite. However, all of them were excellent and one could definitely tell the quality of the fish.  These are premium hand rolls, so they come at a price. Don't expect to be stuffed after eating here unless you want to spend a lot.  The experience also comes at a premium with only about room for 20 people here, with about two or three chefs (so the rolls come fast). We were lucky that we had 0 wait as I have heard others waiting an hour sometimes.  I really like the decor, the art murals, and just the general feel of the place. Trendy but not overly gaudy or modern yet tasteful - like at an art museum.  However, just a note that this place is at the complex with the Convoy parking lot from hell, so plan accordingly to either come at off-peak hours or give yourself time to find parking on the street.  I'm really happy that a place like this exists in San Diego - perhaps the restaurant scene has finally arrived since a restaurant that specializes in something as niche as hand rolls opens here.  The whole experience was very pleasant, and I had a terrific time dining here. I'll definitely be back, when I'm craving for some really great hand rolls :)	
J Wata Temaki Bar	Johnny N.	The \"Go\" set menu is the way to go as it will save you approximately $5 from ordering the 5 handrolls individually.  All the seafood used are extremely fresh and the habachi grilled seaweed makes a wonderful warm crunchy wrap.  I was a little disappointed they had no uni today.  My favorite are the bay scallops and especially the blue crab.  They are both so sweet and fresh.  But the blue crab is what will keep me coming back for more since blue crab hand roll serving restaurants are hard to find in San Diego county.  I would even probably just stop by to get myself a few blue crab handrolls as a snack.  I am not cheap on my food but I do find the handrolls to be somewhat small \u0026 expensive.  To make yourself full the final bill tally can get quite high.	
J Wata Temaki Bar	Julie N.	Wow, if I wasn't a struggling college student, you would 100% see me here every week. I came in on a Friday around 5ish with my friend. My friend and I wanted to get Cauldron, but we wanted to get something small and savory before we got ice cream.   We saw that J/Wata was open so we went to try it out. This place only serves hand rolls and the menu is small, but boy did everything sound amazing. Hand rolls were around $5-6 per roll, a little on the pricey side but for the fresh ingredients, I totally understand why.   My friend and I just wanted 1 roll each because something savory for our taste buds was all we wanted. I got the negi toro and she got the avo/wasabi/mayo. The chef prepares it right in front of you and personally gives you the hand roll. The roll was so flavorful with really great ingredients, you can taste how fresh it was. I'm not even a fan of mayo or wasabi, and the avo wasabi mayo roll was so good.   Staff members and the chef were super nice and welcoming! I can't wait to return, but definitely with my mom or dad next time!	
J Wata Temaki Bar	Jay O.	I can't see this place surviving. I've tried to like it after about 5 or 6 visits but it just isn't happening.  Service is always very bad even on a very slow day. The waitress doesn't seem to know what's going on and the kitchen side isn't much better.  Pace is always very slow and they always seem to be training someone new to make rolls.  (I've never seen the same person in the kitchen twice except one guy).   Fish quality is nothing special and the specials haven't changed since they opened (many months ago).	
J Wata Temaki Bar	Deaj Q.	First time at a temaki bar. Both of my parents are avid fans of Junya Watanabe, so visiting here didn't surprise me. My dad and I ventured in while waiting for seats next door at Junya's neighboring ramen shop. We were honestly looking for just appetizers and a drink or two and ended up spending a cool $75 sans tip. L O L.   (We ordered: negi toro, spicy salmon, bay scallop, shiitake shoyu, uni with shiso, unagi x2, wagyu shabu, a beer, and the sake sampler)  James was our chef for the majority of the meal and I think Kim was our host. The meal and service are very structured and for good reason. Order your hand rolls and drinks by notating them on the provided check list, Chef will hand them to you, one at a time, as they are made. D E L I C I O U S. But I can see how the service structure is helpful when it is extremely busy.   I can't tell if it was because my dad was generous from the alch or if we were both just genuinely enthused in our experience but we spent more than enough on our original plan for appetizers and drinks hahahaha.  All of the hand rolls we ordered were fantastic. All of the fish and even vegetarian rolls were premium and exceptional quality--so for me, at this point, decision-making is a matter of what your taste preference is. Of honorable mention, I really loved the bay scallop. So creamy and sweet. Chef offered us palate-cleaning rolls at the end: a pickled radish handroll and a ginger shiso handroll. Both were tasty but if we were to choose one, the ginger handroll reigned supreme.   Thank you, j/wata Temaki Bar!	
J Wata Temaki Bar	Akemi W.	Very expensive. Very delicious.  These rolls are made fresh with crisp nori, hot rice, and cold fish. Each one is prepared as you eat it, so there's no takeout, no fancy presentation, no piled plate to take photos of. I could see this taking quite a long time, but I timed my visit for the murky too-late-for-lunch-too-early-for-dinner time and had the place to myself. Even as the only customer, the staff was attentive (but not hover-y), the rice was fresh, and the meal was delicious.  This is definitely a good place to come if you want to eat excellent, quality food without being too fancy.	
J Wata Temaki Bar	Edwina O.	This is how Sushi should be served! Hand rolled in front of you and the toasted Nori elevates the taste to a higher level. Very professional yet inviting atmosphere. J Wata is where you go to impress a date.	
J Wata Temaki Bar	Brianna N.	Simple and good place for a quick bite! Well.. it's convoy so idk if it's really quick but I went when it wasn't too busy. Had the yellowtail, bluefin, and toro. My friends said the blue crab is the best! I would come here again but it gets pretty pricey and you don't really get too full	
J Wata Temaki Bar	Sarah C.	Must try spot if you love hand rolls! I came here for lunch on a Monday afternoon with my bf. As we are diehard sushi aficionados, we've always wanted to try a Temaki spot. During our visit, there appeared to only be 2 workers (one chef \u0026 one server) while the restaurant was pretty full for a Monday afternoon. It took us a while to get seated since the 2 workers were trying to manage the workload. As an appetizer, we also ordered from the seasonal specials, the Kanpachi (Amberjack) sashimi. Since it was our first time at a Temaki spot, we decided to try the set menu \u0026 so we ordered \"Go\" which included 5 Temaki \u0026 miso soup. The price wasn't bad for the amount you get but if you order from the set menu, there are absolutely no substitutions.   The Kanpachi sashimi was amazing! Kanpachi is one of my favorite fish for sushi \u0026 it didn't disappoint. It was very fresh \u0026 light; we could've easily devoured an entire plate of it! The first Temaki was the Negi Salmon \u0026 it was great. Salmon isn't typically one of my top picks but the freshness \u0026 quality won me over! The second was the Maine Lobster. The lobster was cooked to perfection \u0026 there was a good balance between it \u0026 the sauce it was mixed with. I always fear that the delicate flavor of the lobster would get lost in excessive amounts of sauce. The third was the Spicy Tuna which had a good kick of spice but we thought it was just alright. I thought that the Spicy Tuna wasn't anything special because personally, it always has that same, one note flavor to me regardless of where I try it from. I think there are other fishes that have flavors that are more profound \u0026 unique. The fourth was the Hamachi Golden Ratio \u0026 it was the BEST! The name for this Temaki was very appropriate because the flavors were cohesive in the marinate of the fish. The fifth \u0026 final was the Bay Scallop \u0026 to be frank, it was a bit of a disappointment. Like the Maine Lobster, the Bay Scallop was also tossed in a sauce but I thought the sauce was overwhelming, heavy \u0026 clouded the delicate, subtle flavor of the scallop.   In terms of service, it did take some time for us to finally start receiving our Temaki's because the chef was swamped \u0026 looked like he was pretty behind on orders. On a good note, reinforcements arrived from the back so there were 2 more workers alongside the chef. At this point, the food was coming out faster but I can tell the patrons who were there before us were pretty frustrated, possibly wondering why these workers didn't come sooner. The chef even apologized to some patrons, assuring them that this service doesn't reflect their regular service. Unfortunately, we received our Kanpachi sashimi at the end of our meal because the chef forgot about it but it was delicious nonetheless.   Overall, we had a great first time experience at a Temaki restaurant. The ambiance is great \u0026 the place is very trendy \u0026 modern. I love how all the seats are bar style so that you can observe the chefs \u0026 they hand you all the pieces directly. One of my favorite things about the food is that there's a perfect balance in flavor, texture \u0026 proportion between the rice, the crispiness of the roasted Nori \u0026 the fish elements. I could tell they utilize high quality ingredients not only for fish but also for the Nori \u0026 the sushi rice prep. Though the food doesn't come out fast, I appreciate the time that goes into hand making each piece. Having dined at quite a few traditional, Japanese sushi restaurants, I knew that those chefs like to take their time to perfect each piece so we came in knowing it wouldn't be a fast dining experience. They also recommend that you eat every piece as soon as it comes out \u0026 for good reason because the crispy, roasted Nori is a major component in Temaki \u0026 if you wait too long, it'll get soggy. I'd love to visit again but I think I'd order a la carte next time to try the other selections!	
J Wata Temaki Bar	Helena Q.	WOW!  This place is delicious!!  Definitely one of my favorite restaurants in SD now.  The chefs who prepare the hand rolls take great care, and let me tell you, every single hand roll my friend and I tried was great.  It's a small restaurant, with a nice ambiance.  Great date spot!  Each hand roll is made to order and only after you finish your last one does the chef make another.    The concept is that nori is wrapped into a cone with rice and fish.  The nori is toasted over a high flame, so that it doesn't taste chewy - thank you!  The fish tasted fresh, and the rice was perfect.  Since the dessert shop, Angels \u0026 Hearts, is opened by the same owner, you can even get a discount if you go after dinner by showing your receipt!  What a sweet deal!	
J Wata Temaki Bar	Jessica T.	Tasty and satisfying hand rolls that are worth the price! You can choose from a set menu and/or buy rolls individually.   Ordered the Go set ($21.75) which comes with salmon, lobster, spicy tuna, scallop, and blue crab hand rolls and added on a blue fin tuna roll ($4). They were all pretty good, but my favorites were the salmon, lobster, and scallop.   My friend ordered the uni ikura roll and was impressed with it as well! I usually find ikura too salty, but I really liked the sample I was given. It's first washed to lessen its saltiness. Then it's marinated overnight in a soy sauce (?) mixture, which gives it a flavorful yet delicate taste.  I'd come back if I'm ever down to splurge to try the rest of the menu!   *This place is better than kazunori in LA.	
J Wata Temaki Bar	Michelle N.	My fianc\u00e9 is a huge hand roll fan, so we came here for lunch over the weekend. It's a small restaurant with a U-shaped communal table that allows you to get real close to your neighbors and the sushi chef. (This place is in that convoy tapx plaza where green tea house cafe used to be..10 years ago lol.)  Food is delicious and filling. We each ordered the 5-roll pack w an extra specialty roll apiece. Hands down my fave is the lobster hand roll. Oh and the buttery delicious bay scallops roll. I'm still having dreams about them!!!  Gotta give a shout out to the awesome sushi chef, James. I love watching food network, so I was thrilled when he answered a few of my questions and explained how the rolls and their components are made. I think a lot of times in these smaller restaurants, the atmosphere is really set by the chef, and he did a great job setting the atmosphere.	
J Wata Temaki Bar	Theresa H.	I think that many don't understand that this is a specialty hand roll restaurant, with that being said, let's continue.  Luckily for me and my S/O, we used their grand opening special, buy one set and get one set, so we were allowed to binge a little. We got the \"go\" set, which includes Maine Lobster, Spicy Tuna, Bay Scallop, Negi Salmon, and Blue Crab.   The service was great, a server seats you around the chef, but I wouldn't necessarily recommend a large group to come in. The fun thing about the seating is that you get to see the chefs roast the seaweed, and hand roll everything right in front of you. The seaweed is roasted on an open fire, and this is done so that it has a nice crunch, roasted flavor that compliments the hand roll.   They give you the roll when you're ready, what that means is that every roll is made fresh for you to enjoy the roll one at a time.  Blue crab - This was surprisingly really sweet due to the fresh crab, although a little bit too much mayo Spicy Tuna - taste like a little bit better than average spicy tuna Bay Scallop - I liked this one the best, but some people might not like the texture of the scallops, it was light and fresh Negi Salmon - Also tasted like an elevated salmon Maine Lobster - Fresh, made up for the crab with less mayo  Everything was very thought out texturally with the melt in your mouth fish, and the crunchy seaweed. But it's not an average \" sushi\" place, it's a handroll place that wants you to taste what they offer which are hand rolls! If you've got the time, and a little more money, go ahead and sit down here to eat. But other wise, treat this place as a little pre-game for your other meals to come around convoy	
J Wata Temaki Bar	Evee N.	Came here with a fairly large group, knowing we might have to split up or deal with a longer wait. Good thing it was a Monday afternoon, they were able to seat 6 of us altogether. Like previous reviews have mentioned, it's a slower paced meal since you are being fed only as fast as your chef can go.  SHI - 4 handrolls Blue Crab - this was my least favorite of the 3, all I could taste was the mayo Negi Toro, Spicy Salmon, Bay Scallop - all so simple, yet tasty  Unagi - this was a slightly different flavor that I still enjoyed. Unagi is usually prepared with a sweet sauce, and\u00a0@J Wata the sweetness is toned down.  I liked that we could watch the chefs prepare the handrolls, from toasting the nori to placing it in your hand. Though it was good eats, it wasn't amazing amazing y'know?	
J Wata Temaki Bar	Heather P.	My favorite sushi place!  So fresh and delicious.  My favorites are the hamachi and negi toro.  They have a great lunch special with miso soup, salad, and two hand rolls that I get at least once a week!  The chefs and staff are so friendly.  It's my go to.  Don't ever change J Wata!	
J Wata Temaki Bar	Katherine H.	First to pop up in San Diego. Delightful culinary experience. The seafood was fresh and hand rolls made one at a time with care. There are only a few seats, which causes a line. Everyone was amazingly helpful and nice. The blue crab and spicy tuna hand rolls were my fave. Great date night location.	
J Wata Temaki Bar	Christopher S.	A very nice change up from your normal sushi spots.  Food and service is incredible. Depending on how busy it is it may take some time for you to get your first set of hand rolls but it is definitely worth the wait.   Highly recommend going during happy hour so you can get drinks and some rolls at a discounted price which makes the experience more worth it.  Must try!!!	
J Wata Temaki Bar	teresa v.	I've been here now a handful of times and it has yet to disappoint! Highly recommend going for the 5-set so you can try more of a variety and to fill up -- and 3 to 4 is not enough to get full. LOVE how the chef gives it to you one at a time and roasts the seaweed as he goes (always great seeing Chef Mas behind the bar, whether to watch over the other chefs or making the rolls himself).  I would say this place has not yet been fully discovered (yay for me!), but would def recommend others check out this hidden gem!	
J Wata Temaki Bar	Kim P.	Best hand rolls I've ever had. Enjoyed everything but favorites were lobster and scallops hand roll. The crispy shrimp was also delicious. Would definitely recommend!	
J Wata Temaki Bar	Jinna K.	Not my style. Super bland and really, nothing extraordinary. We got the 5 hand rolls each. It was spicy tuna, bay scallops, Maine lobster, blue crab and salmon. The lobster, scallops and crab are slathered in mayo. I felt like they really didn't take advantage of the fresh seafood natural flavors and was geared towards a more mainstream, \"American\" flavor. They didn't taste bad, just very bland and lackluster. The chef (James) was very courtesy and did what he could do. We ordered a few specials/appetizers and one of them came with miso soup. We asked if we can get our miso soup since it took a while, the waitress said we had to order it so we told her we ordered a the set of 5 Temaki and it came with it. She then said \"did you want it?\" We just said yes....  The service wasn't terrible. Our waiter was fine and chef was nice. It's just one chef for the entire table but he was able to keep up with the pace. I think they could improve on really amplifying the freshness and quality of the fish rather than slathering it mayo. It tastes so Americanized like a Cali roll.   It's just not my taste. I can see why people love this place and have it good reviews, it's just not my preferred taste.   Also, keep calling the grated chopped wasabi \"fresh\" wasabi when it's not. Idk where people get this from but I would have to assume they were told that.   I, personally would not recommend. But again, It's just not my preference. I can see someone trying to transition from California or philly rolls to sashimi that want to be \"adventurous\".	
J Wata Temaki Bar	Hillary F.	We ordered the monkey balls, Negi salmon and salmon skin roll plus the San (3) Tamaki set which comes with miso soup , a negi toro, blue crab, and spicy salmon roll.  Everything tastes fresh and you can tell the ingredients are of high quality.  We will defiantly come back here next time we are in the area.	
J Wata Temaki Bar	Brandon F.	I've been excited to try this place since they opened, but I've always assumed it's super busy.. especially being located in such a busy area in Convoy. To my surprise, there was no wait on a Friday night at 7:00 pm! It was near empty, with just 1 couple dining upon our arrival. I also found parking right away, I'll admit that was sheer luck.   I love the concept and simple menu. You order your hand rolls, and they make them fresh for you one at a time. This makes for a fun and unique dining experience that ultimately fills you up. It's also pretty quick, we were in and out fairly fast.   My girlfriend and I had 5 hand rolls each. Keep in mind, they're not as big as your typical hand roll at other places, but don't over order, because you could always order more later.   My girlfriend's favorite was the main lobster. My personal favorite were the shiitake and yellowtail. We ordered the wagyu, and it was mediocre at best. Then my toro was just okay, for all I knew it could have been regular tuna.   Overall I'd rate the experience 3.5 stars, but going to round down. $75 later including tip for 2, it was fun, but not memorable. To their credit, the service was good, and it's a nice and quick dining experience. Then make sure to try the shiitake. Unfortunately the wagyu was a disappointment, and the toro was questionable. Then the overall fish quality was not any better then your average sushi place, so I'll likely not be back.	
J Wata Temaki Bar	Kelly H.	Love their blue crab and lobster.  Very fresh!  You can now use yelp to make reservations which makes it easier during Friday and Saturday.  I like their fresh ingredients and would like to see them expanding the selections a bit more.  Recently they added some sake tasting which is a plus!	
J Wata Temaki Bar	Lydia T.	I love when an establishment sticks to one thing and does it well! J Wata is the spot for yummy small handrolls with crisp seaweed. OMG.  It's just a small u-shaped bar, modern and intimate.  The miso was tasty!   We selected the \"Go\" (means 5) (x2) so we could sample their offerings. Our fave was the negi salmon. I also really liked the spicy scallop (not spicy but yummy creaminess) and the blue crab. We needed another negi salmon and the uni a la carte. The uni was very refreshing with an oba leaf and roe.   The staff were very nice and attentive. They adjust the pacing accordingly and we were never without a hand roll for long. I can't wait to go back!  Arigato gozaimasu	
J Wata Temaki Bar	Thuong T.	Three Words: Premium hand rolls.  I love the uniqueness of this Japanese restaurant, specifically brought to you so that you can enjoy a whole new experience of sushi. It is indeed, a very simple dish, and you'd imagine \"how hard could it be to mess up?\" Well darling, you can.   \"THE PRECISE COMBINATION OF SUSHI GRADE FISH, WARM RICE AND CRISP SEAWEED, PAIRED WITH CHEF WATANABE'S SECRET SAUCES CREATE A UNIQUE DINING EXPERIENCE.\" - CHEF JUNYA WATANABE  (CREATOR OF RAKIRAKI RAMEN AND POKIRRITO POKE)  HAMACHI SASHIMI Super fresh slices of hamachi, drenched in a flavorful sauce, and topped off with a spicy kick of jalapeno. It is one of my favorite dishes and they did not disappoint.  GO [5] TEMAKI  (All hand roll combos cannot be substituted or shared)  BLUE CRAB(GF) - The crab was immensively flavorful. My second favorite. SPICY TORO (GF) - Fresh, Yummy NEGI SALMON (GF) - Fresh, Yummy BAY SCALLOP (GF) - The scallops were beautifully marinated in a creamy sauce. My favorite! MAINE LOBSTER (GF) - Fresh, Delicious  UNAGI (Premium Roll/A La Carte) - Super tender and slightly sweet, delicious!  Overall, all the ingredients, from the slightly crisped Nori seared over an open flame, to the tender rice, to the freshness of the proteins, and the subtle but flavorful sauces, to the customer service was wonderful.	
J Wata Temaki Bar	Jessica C.	Such a fun and delicious eating experience. We love coming here for just a snack or for a full meal. Everything is worth trying.	
J Wata Temaki Bar	Victoria O.	Like so many great Convoy spots, this little gem is tucked into a strip mall and easily overlooked due to its more established surroundings. It's always a treat to find ourselves here as the concept is simple yet thrilling and, above all, well-executed. To have hand rolls made one-by-one and handed over directly from the chefs is already a step above most any other restaurant around, but then to also have the flavors of each selection speak to the ingredients within takes it to a whole new level. There's nothing like it in San Diego and I hope they find the traction they need to thrive as they're doing quiet, excellent work.	
J Wata Temaki Bar	Lori T.	Came in during their soft opening and I'll start by saying that I'm looking forward to seeing their menu expand because everything that we ordered was good.  The hand rolls are made fresh one at a time in front of you and it's best to eat them right away to maintain the fresh crunch of the seaweed. My mistake was taking my time in snapping pics of my first few handrolls haha. The blue crab and scallop rolls were my favorite - the blue crab was slightly sweet and the meat was refreshing, light, and fresh by the smell of it. The scallop was just the same - slightly sweet with a clean aftertaste and texture. The salmon and hamachi sashimi were both served with just the right amount of accompanying ponzu and wasabi and the slices were fresh. My rec is to go for the \"shi temaki\" which is an order of blue crab, negi yellowtail, spicy salmon, and bay scallop handrolls then you can order more as you please. I'd skip on the Maine lobster - it's not out of the ordinary.   I think that the way the rolls are served should be changed - rather than handing it directly to the customer, it could be placed in front of them. I felt like I was going to drop my handrolls because it's a little awkward having to grab/set the roll in your hand. Just my two cents!   Overall, I highly recommend for the experience and quality of food. The parking lot isn't great as it is the same one shared with Tapex and Tofu House and if you know, you know...	
J Wata Temaki Bar	Annie L.	YES. JUST YES! If you love Temaki (hand rolls) you'll love it here. The Bay Scallops, Spicy Tuna, Wagyu Shabu are absolutely delicious! They have a special Temaki right now, Spicy Jumbo Shrimp Tempura which is also amazing. You also have to understand that your entire dining experience will take over an hour, your Temaki comes out one at a time, so expect to wait. All in all, A+!	
J Wata Temaki Bar	Jasmine C.	S P E E C H L E S S ! I have been to many sushi places and this place is one of its own kind.   The experience was different here. You walk in and there is only a round about bar setting. You sit as if you are in a bar but you order sushi. The sushi is made for you one by one and they hand it to you one at a time. Similar concept to as if you are ordering a drink at the bar and they hand you one drink at a time.   Everything is premium and fresh. Customer service is great. The Sushi Chef was very attentive and he went along with our instagram posts. He smiled on camera when we took pictures of him preparing our food. He was entertaining.   I just hoped the restaurant would be bigger with more seating. There is a higher demand I noticed. My friend and I waited about an hour and a half to get seated.   Parking is a mess but there is street parking as well. The food is worth having a struggle with parking.	
J Wata Temaki Bar	Tiffany L.	I've been here twice now, once during the soft opening and the second time during their grand opening when they had their set menu BOGO.  There are only around ~20 seats so while this makes for an intimate, authentic atmosphere reminiscent of a sushi restaurant in Japan, it is probably not the best place to go if you have a party over 3-4 people.  This place is great if you're not super hungry and you're looking for quality/freshness over quantity.  They only serve hand rolls and each roll is prepared fresh to order and should be consumed within seconds of receiving it from the chef.  While I do appreciate this concept, it does make the meal last longer and the pacing of your meal is at the mercy of how busy the restaurant is.  You should expect to wait 5-10 minutes between each roll.  However, the service is very attentive from the chefs, servers, and manager.  The chef always asked me how each roll was in between rounds and seemed genuinely interested in my response as opposed to just asking for the sake of it.  The servers came around often to refill waters as well as their high quality soy sauce, ginger, and wasabi.  I normally don't even like sushi ginger but I really enjoy the freshness of the ginger here!  The food itself is delish.  I had the Shi and Go menus during my respective visits.  The chefs hand-roast the seaweed before filling it and that crunchy exterior really ties everything together.  All the fillings are fresh and seasoned well.  My favorites are probably the salmon, yellowtail, and lobster rolls :)	
J Wata Temaki Bar	Adrienne A.	Oh man, where do I begin?   Everything I had was DELICIOUS! *****  Spicy Salmon- Perfect!  Spicy Toro- Perfect!   The Blue Crab was my favorite :)   I had no warning before I bit into the Uni special... my mouth went on a journey through the universe. So many flavors~  Thanking my lucky stars !! I was given fresh raw wasabi... I ate all of it. I think it got me high :D just kidding, I know it did!!!  Even the wasabi you are normally given here was the best I've ever had, as well as the ginger.  The Chefs oh ma gaaaaaaaaaaaaaa GORGEOUS!!! Faints :)   Big crazy parking lot!!!!! I will avoid places if parking is to difficult, but for this? For this I will fight! I will take you DOWWWN!!! LoL   Fantastic service! Great decor to stare at after you're high from the wasabi and delicious food :D   Nice restrooms!   See you in my dreams!	
J Wata Temaki Bar	Marika D.	Man, I had such high expectations for this place being an avid consumer of seafood and Japanese cuisine. But it really did not live up to it in the slightest bit.   For a place that specializes in hand rolls, they sure make a sloppy one. It's very hard to eat without them falling apart. I do like that they warm up the seaweed and that it has a nice crunch. But inside the nori is 75% rice. Very little seafood, which wouldn't be an issue if the price was affordable. But these are expensive handrolls at $5-10 each.   The San, which included Negi Toro, Spicy Salmon \u0026 Blue Crab, was very unsatisfying. They were all so heavily marinated that you couldn't taste the fish itself. Especially the crab was more mayo tasting than anything.  We also ordered the hamachi sashimi to get a change from all the rice. Yellowtail is my favorite fish, and I find that it is usually good even at mediocre sushi spots. But this one was actually pretty bad.  It was served room temperature and the texture tasted somewhat dry. This confirmed to me that the fish they use here is not the freshest and highest of quality.   In my opinion, they need to source better seafood and use less sauce/rice, or reduce their prices to match the quality.   +1 star for the ambiance +1 for the concept	
J Wata Temaki Bar	Yoder O.	Totally blown away by how delicious the food was. I'm giving this place a 5 star although is has some cons but the food and experience was that good.  Food choice: GO x2 (mind-blowingly Delicious)  Pros: The hand roll is made fresh right in front of you and served one at a time. It's so freaking delicious that you can't wait for the another one and then another one. The sushi chefs are super friendly and engaging.  Cons: The place is small but intimate. We came with a party of 8 and had to be split into 4 groups which was awkward to yell across the room to talk to a friend. The prices are also a bit out of hand but thankfully we came at the grand opening week and got a buy one get one free deal. Lastly, getting the food fresh out of the chef's hand was so unique but also means waiting around for 2 chefs to serve 20 people can be irritating.  Overall: I will be coming back and can't wait to try everything on the menu.	
J Wata Temaki Bar	Kendra A.	This place IS SOOOOO TASTY!!! Their lunch specials are fantastic and super affordable. It's a tiny lil place but man it's absolutely delicious and the employees are the sweetest. Kim, you're awesome!  We got the Hamachi Kama and duuuuuude so fresh! Finger lickin good :)	
J Wata Temaki Bar	Sang P.	Came here around 11:15 AM on a weekday. The place was about 30% full. I ordered the \"GO\" because why not GO all out?  I don't think it's fair to compare sushi places in the US to the ones in Japan. The style that J Wata serves is very similar to the extremely popular Kazunori in Los Angeles. Don't expect sashimi inside your temaki. Also, the rice wasn't quite seasoned for sushi (don't expect akasu or komai, etc) but that's still okay. I think it could be borderline pretentious if someone puts that much effort into the rice for San Diego - given that the price range does not justify that much detail anyway - who cares!  The rule still stands similar to Japan and the US alike: eat as soon as possible when the chef hands it to you to keep the crispiness of the seaweed.  The temakis were good - I liked the lobster the most. I'd love to try to Uni+Ikura next time but I was pretty full from the meal. In the future, I'd prefer more handrolls with sashimi in them but I know that's pretty difficult to do given the prep time, etc.	
